store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment
27,B,76,2018-01-01,45499.288343138396,False,36.19622308905863,0.6811404830353707,8.589915765758612
48,C,88,2018-01-02,26229.67308432724,True,-7.070981197962353,1.2182149553861255,5.026938465802575
28,A,87,2018-01-03,45679.72235529333,True,9.67249738392799,0.6895961264767715,8.970767487532642
32,C,42,2018-01-04,33759.34070960387,True,26.962087020204216,1.1558268134202905,3.668312743434535
68,A,28,2018-01-05,30133.62994304417,True,-2.4626901248154827,0.942439534927755,6.62888141449392
10,B,83,2018-01-06,17233.75481257707,True,29.273771719515274,1.069152413835614,6.055941231519936
66,C,68,2018-01-07,4921.558768625033,True,38.63663217495997,1.1354617496789847,4.447297720844151
55,A,50,2018-01-08,19399.529141214625,True,5.855383756028395,1.310223183655626,8.133338990492998
51,B,80,2018-01-09,42394.64735578694,True,12.09532207197033,0.8571798864220358,8.56695265843547
43,B,27,2018-01-10,9178.489971017305,True,2.2506152170548894,1.2519245152330494,9.305322675836642
40,C,66,2018-01-11,11464.76554662616,False,-0.47345253135050136,1.0064394527430354,3.078159055512668
52,C,89,2018-01-12,33654.89419668321,True,7.341832028024356,1.2517835005359466,7.042851500036596
86,A,17,2018-01-13,44808.27202287197,True,31.146190945643006,1.0400121928774064,8.244881761867473
23,A,93,2018-01-14,7336.585643831963,False,0.34773000642423213,0.5717675422208495,7.527588881401158
56,B,70,2018-01-15,12911.213031914713,False,-5.49710845664886,0.9712249915356419,5.507923006374038
52,B,54,2018-01-16,29592.182661613475,False,31.038180946485447,1.4464678085875855,9.36828852182989
92,C,15,2018-01-17,7318.399759175519,False,38.67161891731908,0.7547123887422093,9.777201726355795
68,B,39,2018-01-18,25639.271634387565,False,13.627508940863319,0.8700022097777866,7.145647840216508
66,C,11,2018-01-19,18615.15303652609,False,21.5906990579079,0.9688128201798702,4.4888802678760396
50,C,74,2018-01-20,3383.472310491548,False,29.01003966954716,0.7189004803084105,8.789138736135913
16,B,85,2018-01-21,48568.98687688798,False,-8.02577945377124,1.2994678745806776,5.037484065576152
16,B,13,2018-01-22,12936.095351538728,False,15.739377500939874,1.0830150044342945,8.655284727620362
15,C,7,2018-01-23,46386.41147537091,False,-0.2913738650856672,0.7004635584997473,5.247133117978521
19,B,37,2018-01-24,5524.0344914695615,False,28.66069440297563,0.7396366039704042,9.919954060677156
22,C,51,2018-01-25,38622.308953699954,False,10.731732712749356,1.142264733980992,7.428883880625643
84,A,42,2018-01-26,48505.614444217426,False,18.983697802671465,0.6830605620069076,4.275433439132467
78,A,69,2018-01-27,26124.128395759548,True,6.348451996058326,1.339084026204032,9.718884538419411
92,A,4,2018-01-28,20624.61356052096,False,-3.9355297876995454,1.4473584203369667,8.293381777530893
24,A,40,2018-01-29,47682.232851340625,True,3.819666185394791,1.449802425468354,5.617034183684906
53,A,19,2018-01-30,41327.30618510379,False,26.6525213394534,0.6306543056733663,6.502297610968991
40,C,66,2018-01-31,30195.684814871634,True,13.82911982801389,0.798324395115058,6.838131899107841
41,A,13,2018-02-01,31568.23263669563,True,-0.45242003397578934,1.3392941719765552,9.722884160587817
52,A,39,2018-02-02,48407.460287207236,True,-3.9594591479192225,0.9408052980695644,3.6181944139248943
35,B,6,2018-02-03,5172.662885790604,False,21.07688853057881,0.6115319634569015,7.760133330370291
89,A,40,2018-02-04,25800.771224390875,False,13.433211186729281,0.7290595670243237,7.47903416928072
49,C,9,2018-02-05,24385.42685386884,False,21.438858291095006,0.8331951160888412,6.468508275205257
32,A,63,2018-02-06,44905.62090244083,False,-1.0011908212259417,1.4468496598962963,3.217267761389498
2,C,22,2018-02-07,38269.00351524629,True,15.091602762819619,0.6834674893452221,8.965891466790053
16,A,22,2018-02-08,40762.89208833343,True,-2.6776997818104187,0.5188595911761947,3.221890350478093
58,C,69,2018-02-09,29373.89108934717,False,5.074757633304852,0.7830866190932507,7.195436302989265
79,B,98,2018-02-10,1621.2021528888627,False,36.87165226479122,1.3074088606605387,8.214979092567333
95,C,25,2018-02-11,10824.334627230035,True,37.358029759206595,1.302902138555801,4.4774649574806356
